,Timestamp,Train ID,Scheduled,Actual time,Delay,Station,Dep/Arr,Category,Delay at Dep.,Trip time,Sched. trip time,12h Coldest Arrival,12h Rain max Arrival,12h Rain total Arrival,12h Snow depth Arrival,12h Coldest Dep,12h Rain max Dep,12h Rain total Dep,12h Snow depth Dep
543,2018-02-16 08:55:50,140,08:54:00,08:55:50,110,HKI,ARRIVAL,Long-distance,66,03:48:49,03:39:00,-5.4,0.2,0.6,20.0,-12.3,0.2,0.7,57.0
544,2018-02-16 12:03:29,142,11:54:00,12:03:29,569,HKI,ARRIVAL,Long-distance,-20,03:19:41,03:17:00,-5.4,0.1,0.2,20.0,-12.3,0.1,0.30000000000000004,57.0
545,2018-02-16 17:55:18,146,17:54:00,17:55:18,78,HKI,ARRIVAL,Long-distance,266,03:27:52,03:31:00,-5.1,0.0,0.0,20.0,-12.3,0.0,0.0,57.0
546,2018-02-16 20:53:28,148,20:54:00,20:53:28,-32,HKI,ARRIVAL,Long-distance,870,03:30:13,03:22:00,-4.2,0.0,0.0,20.0,-11.6,0.0,0.0,57.0
547,2018-02-16 07:55:08,150,07:54:00,07:55:08,68,HKI,ARRIVAL,Long-distance,38,03:20:58,03:36:00,-5.4,0.2,0.6,20.0,-12.3,0.2,0.7,57.0
548,2018-02-17 16:35:07,84,16:35:00,16:35:07,7,HKI,ARRIVAL,Long-distance,-24,03:35:03,03:34:00,-5.4,0.0,0.0,20.0,-11.0,0.0,0.0,59.0
549,2018-02-17 08:58:55,140,08:54:00,08:58:55,295,HKI,ARRIVAL,Long-distance,34,03:38:21,03:34:00,-5.4,0.0,0.0,20.0,-10.8,0.0,0.0,59.0
550,2018-02-17 11:53:41,142,11:54:00,11:53:41,-19,HKI,ARRIVAL,Long-distance,-2,03:38:43,03:39:00,-5.4,0.0,0.0,20.0,-10.4,0.0,0.0,59.0
551,2018-02-17 14:54:33,144,14:54:00,14:54:33,33,HKI,ARRIVAL,Long-distance,360,03:35:33,03:41:00,-5.4,0.0,0.0,20.0,-10.0,0.0,0.0,59.0
552,2018-02-17 18:02:34,146,17:54:00,18:02:34,514,HKI,ARRIVAL,Long-distance,-35,03:17:31,03:17:00,-5.6,0.0,0.0,20.0,-11.0,0.0,0.0,59.0
553,2018-02-17 20:57:36,148,20:54:00,20:57:36,216,HKI,ARRIVAL,Long-distance,10,03:40:09,03:31:00,-6.5,0.0,0.0,20.0,-11.0,0.0,0.0,59.0
554,2018-02-17 07:54:49,150,07:54:00,07:54:49,49,HKI,ARRIVAL,Long-distance,-14,03:39:26,03:36:00,-5.4,0.0,0.0,20.0,-11.3,0.0,0.0,58.0
555,2018-02-18 16:39:28,86,16:35:00,16:39:28,268,HKI,ARRIVAL,Long-distance,21,03:40:38,03:39:00,-9.4,0.0,0.0,20.0,-15.1,0.0,0.0,58.0
556,2018-02-18 19:36:43,88,19:35:00,19:36:43,103,HKI,ARRIVAL,Long-distance,1,03:42:50,03:41:00,-9.5,0.0,0.0,19.0,-18.3,0.0,0.0,58.0
557,2018-02-18 11:55:29,142,11:54:00,11:55:29,89,HKI,ARRIVAL,Long-distance,-9,03:21:07,03:17:00,-9.8,0.0,0.0,20.0,-13.5,0.0,0.0,59.0
558,2018-02-18 14:55:58,144,14:54:00,14:55:58,118,HKI,ARRIVAL,Long-distance,8,03:30:53,03:31:00,-9.4,0.0,0.0,20.0,-13.5,0.0,0.0,58.0
559,2018-02-18 17:53:28,146,17:54:00,17:53:28,-32,HKI,ARRIVAL,Long-distance,-25,03:23:42,03:22:00,-9.4,0.0,0.0,19.0,-16.6,0.0,0.0,58.0
